レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609080101,2026-09-08,01,01R,4181,0.1838,0.1393,0.2282,4033,0.1386,0.1029,0.1743,3475,0.1684,0.1227,0.2141,3305,0.1573,0.1148,0.1998,4040,0.1402,0.1007,0.1798,3202,0.2075,0.1609,0.254
202609080102,2026-09-08,01,02R,4943,0.1305,0.0876,0.1735,3743,0.1461,0.1068,0.1855,3681,0.1574,0.1171,0.1977,5228,0.1605,0.1194,0.2016,4919,0.1673,0.1285,0.206,3867,0.2006,0.1487,0.2525
202609080103,2026-09-08,01,03R,4380,0.1476,0.1006,0.1945,4027,0.1715,0.1323,0.2107,4028,0.1434,0.1052,0.1816,4992,0.1441,0.1107,0.1775,5012,0.1479,0.112,0.1838,3277,0.1755,0.135,0.216
202609080104,2026-09-08,01,04R,5181,0.1696,0.1311,0.2081,4019,0.1605,0.1214,0.1995,3852,0.1785,0.1369,0.22,4557,0.1824,0.1402,0.2246,5430,0.1763,0.1259,0.2267,4118,0.1604,0.1243,0.1965
202609080105,2026-09-08,01,05R,4440,0.1644,0.1153,0.2135,4531,0.1457,0.1065,0.1849,5048,0.1662,0.1276,0.2047,5344,0.1248,0.0841,0.1656,3946,0.1558,0.1213,0.1902,3874,0.1581,0.1185,0.1977
202609080106,2026-09-08,01,06R,4044,0.1224,0.084,0.1608,4919,0.1674,0.1286,0.2061,4161,0.1399,0.103,0.1768,5070,0.1878,0.1453,0.2303,5107,0.1931,0.1516,0.2347,3305,0.1737,0.1312,0.2162
202609080107,2026-09-08,01,07R,4342,0.1357,0.0934,0.1779,4232,0.1637,0.1211,0.2063,4538,0.1595,0.1154,0.2037,3475,0.1714,0.1257,0.2171,4380,0.155,0.108,0.2019,3653,0.2434,0.1954,0.2913
202609080108,2026-09-08,01,08R,4025,0.1597,0.1173,0.2021,3867,0.1872,0.1353,0.2391,4181,0.1853,0.1408,0.2297,4562,0.1768,0.135,0.2185,4027,0.1714,0.1322,0.2106,5430,0.1898,0.1394,0.2402
202609080109,2026-09-08,01,09R,5122,0.1925,0.1479,0.2372,4195,0.1403,0.1051,0.1755,3743,0.1401,0.1008,0.1795,3686,0.1752,0.1396,0.2108,4557,0.1853,0.1431,0.2275,4033,0.152,0.1163,0.1877
202609080110,2026-09-08,01,10R,4513,0.1593,0.1195,0.199,5344,0.1278,0.0871,0.1686,5070,0.1848,0.1423,0.2273,3202,0.1911,0.1445,0.2376,4028,0.1493,0.1111,0.1875,3319,0.1728,0.1386,0.207
202609080111,2026-09-08,01,11R,4019,0.153,0.1139,0.192,4040,0.1403,0.1008,0.1799,4531,0.1397,0.1005,0.1789,5012,0.145,0.1091,0.1809,3681,0.1633,0.123,0.2036,4044,0.1433,0.1049,0.1817
202609080112,2026-09-08,01,12R,3946,0.1484,0.1139,0.1828,4025,0.1672,0.1248,0.2096,4118,0.141,0.1049,0.1771,3277,0.1591,0.1186,0.1996,4232,0.1636,0.121,0.2062,5228,0.1769,0.1358,0.218
202609080301,2026-09-08,03,01R,4438,0.1057,0.0676,0.1438,5378,0.2096,0.1566,0.2625,5279,0.137,0.089,0.1851,3664,0.1669,0.127,0.2069,4896,0.1995,0.148,0.251,4583,0.1739,0.1345,0.2133
202609080302,2026-09-08,03,02R,3850,0.127,0.0936,0.1603,4142,0.1733,0.1372,0.2094,5315,0.176,0.125,0.2269,5427,0.199,0.1568,0.2413,4880,0.1558,0.1206,0.191,3685,0.2145,0.1591,0.2699
202609080303,2026-09-08,03,03R,3655,0.1997,0.1619,0.2375,3859,0.1431,0.1,0.1862,4604,0.1285,0.0937,0.1633,3857,0.1793,0.1371,0.2214,4981,0.1801,0.138,0.2222,3956,0.1742,0.1376,0.2108
202609080304,2026-09-08,03,04R,4173,0.1599,0.12,0.1999,5087,0.172,0.1335,0.2104,3931,0.1311,0.0887,0.1734,4598,0.1412,0.0974,0.1851,4257,0.1357,0.0964,0.175,3839,0.2136,0.1628,0.2644
202609080305,2026-09-08,03,05R,5098,0.1399,0.0998,0.1799,4452,0.1655,0.1246,0.2063,3944,0.1842,0.1381,0.2302,5138,0.1709,0.1319,0.2099,5279,0.1429,0.0949,0.191,5120,0.1813,0.139,0.2236
202609080306,2026-09-08,03,06R,4000,0.1544,0.1149,0.1939,3850,0.1345,0.1011,0.1678,3303,0.187,0.137,0.2371,4258,0.1888,0.1389,0.2388,4888,0.1699,0.1288,0.2109,4640,0.1718,0.1291,0.2146
202609080307,2026-09-08,03,07R,3664,0.1624,0.1225,0.2024,3256,0.139,0.0988,0.1792,5053,0.1822,0.1428,0.2215,5071,0.1423,0.1004,0.1843,3685,0.201,0.1456,0.2564,4981,0.1936,0.1515,0.2357
202609080308,2026-09-08,03,08R,4179,0.1426,0.1076,0.1776,4623,0.1541,0.1126,0.1957,4438,0.1072,0.0691,0.1453,4604,0.1315,0.0967,0.1663,5427,0.2019,0.1597,0.2442,4004,0.1825,0.1424,0.2226
202609080309,2026-09-08,03,09R,4471,0.1411,0.0959,0.1863,3944,0.1902,0.1441,0.2362,4896,0.1936,0.1421,0.2451,3655,0.2042,0.1664,0.242,4407,0.158,0.1173,0.1987,4142,0.1867,0.1506,0.2228
202609080310,2026-09-08,03,10R,4427,0.1264,0.0916,0.1612,5315,0.182,0.131,0.2329,4189,0.186,0.1338,0.2381,4640,0.1554,0.1127,0.1982,4598,0.1441,0.1003,0.188,3859,0.1565,0.1134,0.1996
202609080311,2026-09-08,03,11R,4418,0.1067,0.0734,0.1401,3303,0.193,0.143,0.2431,4452,0.1595,0.1186,0.2003,3931,0.1341,0.0917,0.1764,5378,0.2095,0.1565,0.2624,5053,0.2016,0.1622,0.2409
202609080312,2026-09-08,03,12R,3256,0.1315,0.0913,0.1717,4888,0.17,0.1289,0.211,4880,0.1499,0.1147,0.1851,4661,0.165,0.1192,0.2107,3956,0.1607,0.1241,0.1973,5087,0.1854,0.1469,0.2238
202609080401,2026-09-08,04,01R,4186,0.1375,0.0924,0.1826,4536,0.1659,0.1242,0.2076,4781,0.1919,0.1387,0.2452,3993,0.1535,0.1081,0.1988,4414,0.173,0.1258,0.2201,3845,0.2102,0.1686,0.2518
202609080402,2026-09-08,04,02R,4791,0.1711,0.1282,0.214,4275,0.2117,0.1685,0.2548,5370,0.1835,0.134,0.233,4090,0.1463,0.1145,0.1781,4240,0.137,0.1011,0.1729,5165,0.1885,0.1289,0.2482
202609080403,2026-09-08,04,03R,5357,0.1487,0.0943,0.203,5003,0.1674,0.097,0.2379,5253,0.2504,0.2058,0.2951,4387,0.1385,0.1006,0.1764,4730,0.144,0.1039,0.1842,5454,0.2191,0.1734,0.2649
202609080404,2026-09-08,04,04R,5213,0.174,0.1403,0.2077,5310,0.2097,0.1418,0.2775,5264,0.1693,0.1253,0.2132,4844,0.1648,0.1216,0.2079,4266,0.1454,0.0921,0.1986,4874,0.185,0.1397,0.2302
