レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609110201,2026-09-11,02,01R,3075,0.1185,0.0753,0.1617,4674,0.1398,0.1063,0.1732,4572,0.1377,0.1,0.1753,3834,0.1665,0.1158,0.2172,4555,0.1725,0.1314,0.2136,4631,0.1835,0.14,0.227
202609110202,2026-09-11,02,02R,3692,0.1333,0.0955,0.1711,5038,0.1381,0.096,0.1803,4325,0.1446,0.11,0.1792,4887,0.1468,0.1092,0.1843,4706,0.1896,0.1489,0.2304,4649,0.1382,0.1027,0.1737
202609110203,2026-09-11,02,03R,3814,0.1892,0.1436,0.2348,4708,0.1973,0.1539,0.2408,5220,0.1042,0.064,0.1443,5008,0.1271,0.0905,0.1637,4388,0.1553,0.1161,0.1945,4370,0.1582,0.116,0.2004
202609110204,2026-09-11,02,04R,4615,0.1659,0.1253,0.2065,4467,0.1421,0.1075,0.1768,4363,0.1367,0.1021,0.1713,5313,0.1681,0.1246,0.2117,4883,0.1448,0.1051,0.1845,3161,0.1841,0.1361,0.232
202609110205,2026-09-11,02,05R,3514,0.1599,0.1251,0.1948,4692,0.1512,0.1087,0.1937,4846,0.17,0.1273,0.2127,4295,0.1233,0.0836,0.1631,3589,0.1664,0.1238,0.209,4674,0.1532,0.1197,0.1866
202609110206,2026-09-11,02,06R,4887,0.1423,0.1047,0.1798,4451,0.142,0.0985,0.1855,4578,0.1605,0.1174,0.2036,5259,0.1586,0.1103,0.2068,4351,0.1279,0.0903,0.1655,5455,0.2037,0.1343,0.2731
202609110207,2026-09-11,02,07R,4762,0.1171,0.0789,0.1554,4973,0.1875,0.1473,0.2278,4866,0.1632,0.1228,0.2035,3075,0.123,0.0798,0.1662,3814,0.1966,0.151,0.2422,4325,0.164,0.1294,0.1986
202609110208,2026-09-11,02,08R,5008,0.1226,0.086,0.1592,4555,0.1726,0.1315,0.2137,5126,0.1334,0.0987,0.1682,4615,0.1704,0.1298,0.211,3072,0.1649,0.1242,0.2055,4886,0.15,0.1047,0.1954
202609110209,2026-09-11,02,09R,4388,0.1479,0.1087,0.1871,4163,0.1593,0.1199,0.1987,3161,0.1647,0.1167,0.2126,3514,0.1644,0.1296,0.1993,4865,0.1871,0.1428,0.2314,5038,0.1515,0.1094,0.1937
202609110210,2026-09-11,02,10R,4363,0.1352,0.1006,0.1698,4706,0.1897,0.149,0.2305,4631,0.1641,0.1206,0.2076,4692,0.1482,0.1057,0.1907,4451,0.1419,0.0984,0.1854,3711,0.1844,0.1474,0.2214
