レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609120201,2026-09-12,02,01R,4973,0.1804,0.1409,0.2199,4846,0.175,0.1328,0.2172,5313,0.1624,0.119,0.2058,4865,0.1837,0.1405,0.2269,5008,0.1271,0.0911,0.1631,5455,0.206,0.1374,0.2746
202609120202,2026-09-12,02,02R,3161,0.1594,0.1116,0.2073,4762,0.1242,0.0869,0.1616,4451,0.1346,0.0923,0.1769,3072,0.1603,0.1198,0.2009,3834,0.1666,0.1159,0.2173,3692,0.1512,0.1127,0.1897
202609120203,2026-09-12,02,03R,4572,0.1379,0.0986,0.1772,4649,0.1249,0.0898,0.1599,5259,0.1574,0.1097,0.2052,5126,0.1378,0.1028,0.1729,4866,0.1693,0.1296,0.2089,4363,0.1546,0.1208,0.1885
202609120204,2026-09-12,02,04R,4692,0.1414,0.0986,0.1842,4370,0.1446,0.1037,0.1854,3075,0.119,0.0769,0.1611,4886,0.1356,0.0904,0.1809,4163,0.1599,0.1209,0.1989,4887,0.165,0.1288,0.2011
202609120205,2026-09-12,02,05R,3711,0.1613,0.1237,0.1989,4865,0.1867,0.1435,0.2299,3589,0.1565,0.1128,0.2001,4351,0.1269,0.0895,0.1643,4708,0.1982,0.1554,0.2411,4615,0.1858,0.1445,0.2272
202609120206,2026-09-12,02,06R,4325,0.1465,0.1098,0.1833,4539,0.1274,0.0957,0.1592,4388,0.1493,0.1106,0.188,3692,0.1348,0.0963,0.1733,5455,0.1925,0.1239,0.2611,4295,0.1389,0.0991,0.1786
202609120207,2026-09-12,02,07R,4467,0.1321,0.0977,0.1665,5259,0.1634,0.1157,0.2112,3814,0.1915,0.1467,0.2362,4631,0.1647,0.1217,0.2076,4846,0.1749,0.1327,0.2171,4555,0.1846,0.1434,0.2257
202609120208,2026-09-12,02,08R,4674,0.1292,0.0957,0.1628,4883,0.1419,0.1023,0.1814,3072,0.1573,0.1168,0.1979,4866,0.1664,0.1267,0.206,4370,0.1445,0.1036,0.1853,4706,0.203,0.1635,0.2425
202609120209,2026-09-12,02,09R,4163,0.1525,0.1135,0.1915,3834,0.1667,0.116,0.2174,3711,0.1628,0.1252,0.2004,5220,0.1054,0.0659,0.1449,5126,0.1407,0.1057,0.1758,5313,0.1818,0.1384,0.2252
202609120210,2026-09-12,02,10R,4886,0.1311,0.0859,0.1764,4295,0.1255,0.0857,0.1652,4973,0.1819,0.1424,0.2214,4708,0.1953,0.1525,0.2382,4363,0.1411,0.1073,0.175,4578,0.1759,0.1323,0.2195
202609120211,2026-09-12,02,11R,5038,0.1324,0.0906,0.1741,3075,0.125,0.0829,0.1671,4467,0.1336,0.0992,0.168,3589,0.1595,0.1158,0.2031,4539,0.1273,0.0956,0.1591,4451,0.154,0.1117,0.1963
202609120212,2026-09-12,02,12R,4351,0.1224,0.085,0.1598,4388,0.1553,0.1166,0.194,4555,0.1652,0.124,0.2063,4649,0.1219,0.0868,0.1569,4762,0.1241,0.0868,0.1615,4883,0.1553,0.1157,0.1948
202609120501,2026-09-12,05,01R,4565,0.152,0.1111,0.1929,4376,0.1475,0.1173,0.1778,3463,0.163,0.125,0.2009,3647,0.1468,0.1029,0.1906,3990,0.1603,0.1161,0.2045,4035,0.2146,0.1689,0.2603
202609120502,2026-09-12,05,02R,4491,0.1755,0.1333,0.2177,5103,0.1879,0.1343,0.2415,5262,0.189,0.1371,0.241,4587,0.1785,0.1263,0.2308,3848,0.1431,0.1026,0.1836,3582,0.1649,0.1281,0.2017
202609120503,2026-09-12,05,03R,4619,0.1406,0.0872,0.194,3977,0.158,0.1172,0.1989,3772,0.1346,0.097,0.1721,3740,0.1529,0.113,0.1928,4656,0.1463,0.1114,0.1812,4227,0.1825,0.1366,0.2285
202609120504,2026-09-12,05,04R,3507,0.1847,0.1379,0.2315,4210,0.1473,0.1095,0.185,4031,0.1515,0.1088,0.1942,4645,0.1322,0.0933,0.1711,3519,0.1936,0.1229,0.2643,3792,0.1775,0.1437,0.2112
202609120505,2026-09-12,05,05R,3489,0.134,0.0979,0.1701,3934,0.1589,0.1185,0.1993,5042,0.1637,0.1273,0.2,3713,0.1726,0.1393,0.206,4465,0.1865,0.1326,0.2404,5433,0.2236,0.173,0.2741
202609120506,2026-09-12,05,06R,4430,0.1439,0.1086,0.1793,3990,0.1604,0.1162,0.2046,3641,0.1696,0.1258,0.2135,4565,0.1565,0.1156,0.1974,3997,0.1465,0.11,0.1829,3947,0.1786,0.1389,0.2184
202609120507,2026-09-12,05,07R,3813,0.1573,0.1158,0.1988,3848,0.1432,0.1027,0.1837,4281,0.1437,0.1037,0.1836,4491,0.18,0.1378,0.2222,3977,0.1579,0.1171,0.1988,4140,0.1803,0.1431,0.2176
202609120508,2026-09-12,05,08R,4470,0.1224,0.0845,0.1602,3519,0.1937,0.123,0.2644,4420,0.1444,0.1086,0.1801,5103,0.1849,0.1313,0.2385,2538,0.2141,0.1663,0.2619,5449,0.1989,0.1432,0.2546
202609120509,2026-09-12,05,09R,3647,0.1423,0.0984,0.1861,4465,0.1866,0.1327,0.2405,4146,0.1458,0.1012,0.1904,5433,0.2072,0.1566,0.2577,5262,0.1949,0.143,0.2469,3965,0.1812,0.1315,0.2309
202609120510,2026-09-12,05,10R,3582,0.144,0.1072,0.1808,3997,0.1466,0.1101,0.183,4645,0.1292,0.0903,0.1681,5042,0.1667,0.1303,0.203,4210,0.1472,0.1094,0.1849,4619,0.1615,0.1081,0.2149
202609120511,2026-09-12,05,11R,4227,0.1616,0.1157,0.2076,3792,0.1641,0.1303,0.1978,4587,0.1755,0.1233,0.2278,3641,0.1726,0.1288,0.2165,4376,0.1474,0.1172,0.1777,3813,0.1782,0.1367,0.2197
202609120512,2026-09-12,05,12R,4140,0.1594,0.1222,0.1967,4656,0.1464,0.1115,0.1813,3740,0.1499,0.11,0.1898,3947,0.1622,0.1225,0.202,3934,0.1588,0.1184,0.1992,3489,0.1549,0.1188,0.191
202609120601,2026-09-12,06,01R,3796,0.1516,0.1017,0.2016,4684,0.1286,0.0922,0.1651,5353,0.1947,0.1455,0.2439,3306,0.1408,0.1016,0.18,4876,0.1521,0.116,0.1882,5463,0.2142,0.1622,0.2662
202609120602,2026-09-12,06,02R,4639,0.1492,0.1058,0.1926,4666,0.1524,0.1137,0.191,4369,0.1364,0.0955,0.1772,4811,0.1486,0.1093,0.188,4431,0.1578,0.1095,0.2061,4654,0.1662,0.1272,0.2052
202609120603,2026-09-12,06,03R,3714,0.1355,0.0955,0.1754,3392,0.1843,0.1407,0.228,4150,0.1224,0.0888,0.156,4336,0.133,0.0968,0.1692,3939,0.1705,0.1322,0.2087,4798,0.1246,0.0874,0.1619
202609120604,2026-09-12,06,04R,4677,0.1313,0.0973,0.1652,4068,0.1488,0.1085,0.189,4022,0.1292,0.0907,0.1676,3286,0.1538,0.1129,0.1948,3842,0.1777,0.137,0.2184,4899,0.1595,0.1145,0.2045
202609120605,2026-09-12,06,05R,5091,0.1479,0.1092,0.1866,5369,0.1477,0.1048,0.1906,4345,0.1548,0.1182,0.1915,4588,0.1295,0.0909,0.168,4967,0.1521,0.1128,0.1913,3516,0.1772,0.133,0.2214
202609120606,2026-09-12,06,06R,4358,0.2035,0.1613,0.2457,3906,0.2156,0.1682,0.263,4269,0.1296,0.0975,0.1616,4381,0.1556,0.117,0.1941,5463,0.2007,0.1487,0.2527,3721,0.1258,0.0903,0.1613
202609120607,2026-09-12,06,07R,5353,0.1932,0.144,0.2424,4434,0.1607,0.1245,0.1969,3939,0.1646,0.1263,0.2028,4066,0.1531,0.1135,0.1927,4639,0.1566,0.1132,0.2,3811,0.174,0.1352,0.2127
202609120608,2026-09-12,06,08R,4360,0.1598,0.0998,0.2199,3306,0.1438,0.1046,0.183,3714,0.137,0.097,0.1769,5066,0.1484,0.107,0.1897,4022,0.1351,0.0966,0.1735,4666,0.1658,0.1271,0.2044
202609120609,2026-09-12,06,09R,3627,0.1862,0.1462,0.2262,3286,0.1568,0.1159,0.1978,4967,0.1462,0.1069,0.1854,4876,0.1492,0.1131,0.1853,4336,0.1359,0.0997,0.1721,3777,0.231,0.1888,0.2733
202609120610,2026-09-12,06,10R,4369,0.1349,0.094,0.1757,4798,0.1112,0.074,0.1485,3842,0.1718,0.1311,0.2125,4345,0.1578,0.1212,0.1945,4684,0.1285,0.0921,0.165,4381,0.172,0.1334,0.2105
202609120611,2026-09-12,06,11R,4434,0.1532,0.117,0.1894,4431,0.1579,0.1096,0.2062,3721,0.1064,0.0709,0.1419,4150,0.1254,0.0918,0.159,3796,0.159,0.1091,0.209,4588,0.1459,0.1073,0.1844
202609120612,2026-09-12,06,12R,5066,0.1439,0.1025,0.1852,4066,0.1561,0.1165,0.1957,4068,0.1428,0.1025,0.183,4654,0.1498,0.1108,0.1888,5091,0.1553,0.1166,0.194,4269,0.149,0.1169,0.181
202609120801,2026-09-12,08,01R,5188,0.1307,0.0876,0.1739,4534,0.1932,0.1466,0.2397,5365,0.205,0.1539,0.2561,5251,0.1688,0.1258,0.2117,5296,0.1881,0.1444,0.2317,4479,0.2007,0.1619,0.2395
202609120802,2026-09-12,08,02R,5230,0.188,0.1323,0.2437,4909,0.1699,0.1324,0.2073,5146,0.1499,0.1118,0.188,5357,0.1564,0.1006,0.2123,5194,0.177,0.1353,0.2187,5052,0.1676,0.1155,0.2198
202609120803,2026-09-12,08,03R,5078,0.1797,0.1362,0.2232,5324,0.2033,0.1593,0.2474,4897,0.1763,0.1327,0.2199,5438,0.1836,0.1404,0.2268,4208,0.1448,0.1086,0.181,4764,0.1924,0.1478,0.2369
202609120804,2026-09-12,08,04R,5272,0.1682,0.1261,0.2104,4045,0.1517,0.1124,0.191,5297,0.1903,0.1461,0.2344,4941,0.199,0.1596,0.2384,4433,0.1722,0.1285,0.2158,5436,0.2135,0.1606,0.2664
202609120805,2026-09-12,08,05R,5251,0.1643,0.1213,0.2072,4765,0.1428,0.111,0.1747,3232,0.1478,0.1126,0.183,4964,0.1343,0.0964,0.1721,5182,0.1432,0.0987,0.1877,5129,0.1601,0.1215,0.1987
202609120806,2026-09-12,08,06R,5155,0.1242,0.081,0.1674,5254,0.2242,0.1749,0.2735,5052,0.1482,0.0961,0.2004,5079,0.1805,0.1343,0.2267,4556,0.1513,0.1127,0.1899,5439,0.216,0.1632,0.2689
202609120807,2026-09-12,08,07R,5203,0.1411,0.107,0.1752,4726,0.1368,0.0946,0.179,5078,0.1812,0.1377,0.2247,5296,0.1852,0.1415,0.2288,5346,0.2035,0.1497,0.2573,5146,0.1693,0.1312,0.2074
202609120808,2026-09-12,08,08R,5347,0.1878,0.1372,0.2383,4764,0.179,0.1344,0.2235,5230,0.1895,0.1338,0.2452,4534,0.1902,0.1436,0.2367,4938,0.1356,0.0984,0.1728,4045,0.1651,0.1258,0.2044
202609120809,2026-09-12,08,09R,5340,0.1497,0.0978,0.2016,5182,0.1433,0.0988,0.1878,4433,0.1663,0.1226,0.2099,5194,0.1741,0.1324,0.2158,5365,0.2109,0.1598,0.262,5438,0.2,0.1568,0.2432
202609120810,2026-09-12,08,10R,4208,0.1374,0.1012,0.1736,4941,0.202,0.1626,0.2414,4479,0.1813,0.1425,0.2201,5254,0.2212,0.1719,0.2705,3232,0.1537,0.1185,0.1889,5357,0.1728,0.117,0.2287
202609120811,2026-09-12,08,11R,4556,0.1439,0.1053,0.1825,4897,0.1823,0.1387,0.2259,5272,0.1697,0.1276,0.2119,5188,0.1352,0.0921,0.1784,4765,0.1427,0.1109,0.1746,4909,0.1833,0.1458,0.2207
202609120812,2026-09-12,08,12R,4502,0.1321,0.0897,0.1744,4190,0.1712,0.1282,0.2141,4938,0.1297,0.0925,0.1669,4825,0.123,0.0849,0.1612,5155,0.1316,0.0884,0.1748,4964,0.1507,0.1128,0.1885
202609120901,2026-09-12,09,01R,4136,0.1555,0.1191,0.1919,4458,0.1464,0.1087,0.1841,5354,0.1599,0.1075,0.2123,5172,0.1783,0.1338,0.2229,4106,0.1875,0.1463,0.2287,4423,0.1595,0.1175,0.2016
202609120902,2026-09-12,09,02R,3268,0.1494,0.1109,0.188,3430,0.1574,0.1212,0.1936,3619,0.1751,0.1399,0.2102,3211,0.1638,0.1214,0.2061,3448,0.2047,0.1622,0.2473,3567,0.193,0.1511,0.2349
202609120903,2026-09-12,09,03R,4390,0.1768,0.1355,0.2182,4824,0.1187,0.0819,0.1556,4977,0.1469,0.1022,0.1917,3827,0.1593,0.1158,0.2027,5356,0.176,0.1329,0.2191,4703,0.1525,0.1122,0.1929
