レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609100101,2026-09-10,01,01R,3653,0.2202,0.1727,0.2676,4919,0.1624,0.1261,0.1987,5181,0.1742,0.1321,0.2163,4992,0.1448,0.112,0.1777,3305,0.16,0.1188,0.2012,5430,0.1826,0.1333,0.2318
202609100102,2026-09-10,01,02R,3681,0.1541,0.115,0.1932,3475,0.1774,0.1319,0.2228,3319,0.1519,0.1174,0.1863,4557,0.1822,0.1395,0.225,3202,0.1945,0.1498,0.2391,3867,0.1958,0.1448,0.2469
202609100103,2026-09-10,01,03R,4513,0.1622,0.1132,0.2113,4943,0.1408,0.0975,0.1841,4181,0.1797,0.1362,0.2232,3852,0.1787,0.1374,0.2201,5228,0.166,0.1243,0.2078,5048,0.1898,0.149,0.2305
202609100104,2026-09-10,01,04R,4531,0.1397,0.1015,0.1779,4538,0.1745,0.1315,0.2174,4195,0.1335,0.099,0.1679,3686,0.1758,0.1409,0.2108,4562,0.1769,0.1352,0.2186,4232,0.1802,0.1383,0.2221
202609100105,2026-09-10,01,05R,4118,0.1395,0.1044,0.1746,5012,0.1507,0.1064,0.195,3277,0.1552,0.1157,0.1947,3305,0.1571,0.1159,0.1983,4380,0.1562,0.1075,0.2049,4044,0.1433,0.1068,0.1799
202609100106,2026-09-10,01,06R,3743,0.1431,0.1024,0.1837,3202,0.1946,0.1499,0.2392,3653,0.2217,0.1742,0.2691,5070,0.1872,0.1423,0.2322,4440,0.1729,0.1244,0.2214,4919,0.1758,0.1395,0.2121
202609100107,2026-09-10,01,07R,4040,0.1313,0.0928,0.1697,5181,0.1802,0.1381,0.2223,4033,0.1334,0.0977,0.1691,5122,0.1987,0.1551,0.2422,5430,0.1691,0.1198,0.2183,3475,0.1908,0.1453,0.2362
202609100108,2026-09-10,01,08R,3319,0.1504,0.1159,0.1848,5107,0.1982,0.1582,0.2383,4562,0.171,0.1293,0.2127,4943,0.1378,0.0945,0.1811,4027,0.1742,0.1306,0.2179,5344,0.1543,0.1146,0.1941
202609100109,2026-09-10,01,09R,3686,0.1713,0.1364,0.2063,4557,0.1852,0.1425,0.228,3852,0.1757,0.1344,0.2171,4380,0.1533,0.1046,0.202,4992,0.1477,0.1149,0.1806,4538,0.1879,0.1449,0.2308
202609100110,2026-09-10,01,10R,4044,0.1224,0.0859,0.159,4118,0.147,0.1119,0.1821,3743,0.1446,0.1039,0.1852,4181,0.1827,0.1392,0.2262,4531,0.1471,0.1089,0.1853,3681,0.175,0.1359,0.2141
202609100111,2026-09-10,01,11R,4232,0.1593,0.1174,0.2012,5228,0.1661,0.1244,0.2079,4040,0.1328,0.0943,0.1712,3277,0.1582,0.1187,0.1977,4513,0.1696,0.1206,0.2187,4033,0.1528,0.1171,0.1885
202609100112,2026-09-10,01,12R,3874,0.1371,0.0983,0.1759,4028,0.1513,0.1138,0.1888,4025,0.1622,0.1218,0.2027,4342,0.1407,0.0988,0.1825,3946,0.1608,0.1234,0.1982,4019,0.1722,0.1328,0.2116
202609100301,2026-09-10,03,01R,5279,0.1341,0.0871,0.1811,4004,0.1699,0.1302,0.2096,4407,0.1525,0.1122,0.1927,5053,0.1845,0.1427,0.2263,3857,0.1831,0.1414,0.2248,4583,0.1746,0.1355,0.2136
202609100302,2026-09-10,03,02R,4142,0.1631,0.1258,0.2003,4427,0.1333,0.0988,0.1678,5138,0.1666,0.1279,0.2053,5120,0.1646,0.123,0.2062,3303,0.1917,0.1428,0.2406,5427,0.2124,0.1704,0.2544
202609100303,2026-09-10,03,03R,4888,0.159,0.1179,0.2001,5071,0.1441,0.1025,0.1856,4623,0.1489,0.1078,0.1901,3859,0.1395,0.0976,0.1814,4471,0.1458,0.0997,0.1919,3685,0.2146,0.1608,0.2685
202609100304,2026-09-10,03,04R,3944,0.1756,0.1279,0.2233,4896,0.1942,0.1422,0.2462,4173,0.1578,0.1159,0.1998,4257,0.1317,0.0927,0.1706,4189,0.1907,0.1389,0.2424,3256,0.1517,0.1123,0.1911
202609100305,2026-09-10,03,05R,3664,0.1609,0.122,0.1998,4452,0.1636,0.1233,0.2039,4258,0.1844,0.135,0.2339,4438,0.1107,0.0724,0.1491,4179,0.1516,0.1164,0.1868,3839,0.2132,0.1633,0.2631
202609100306,2026-09-10,03,06R,3850,0.1264,0.0915,0.1613,4640,0.1597,0.1178,0.2016,4981,0.1742,0.1332,0.2152,4598,0.139,0.0957,0.1824,4583,0.1611,0.122,0.2001,4418,0.1269,0.0937,0.1601
